did	duration_xi	duration_sigma	duration_mu	gap_meanlog	gap_sdlog
did:plc:2avf66vd6ityw5bpjmovsrwp	-0.351521253250943	341.918971450472	0.0	7.32334470794947	2.29944370242631
did:plc:2awnpmkjbzltpr3bbq3cnrlp	0.4200775733339805	306.28010804062535	0.0	7.88511877899722	2.01299228921372
did:plc:2aypdhihxjfvvlor5nnikcpm	0.015361920694459	646.315863606999	0.0	7.661819806466	2.16754329334201
did:plc:2b33wsregwr5laxshti2w34a	1.0675323288457332	1.0675323288457332	1.0	6.43221727347209	0.942309779883399
did:plc:2b3ldl5iw5gua4ihkyzuzurn	0.14882263383949754	633.4319756956872	0.0	6.70945724641469	2.13889033660417
did:plc:2b63hv6xpuuwby5e2smvezwk	0.03812724768122099	985.1870711839026	0.0	7.11645422193336	2.61004203484065
did:plc:2bffmluopgwofqko4pxc4y32	-0.388577078316676	184.437828554468	0.0	7.45899151575563	1.9275200845592
did:plc:2bippqetokgbw6b5ka5rqffi	-0.17658144437145	256.263932043332	0.0	7.44219035821161	1.67997183542566
did:plc:2bjoelsss77ctiw5d4gnpdnr	0.177874187454407	233.28359041493	0.0	6.65399594195864	1.9169080602232
did:plc:2btg42uudtcuzobcamwztgrh	2.442843560735877	2.442843560735877	1.0	8.06359520429163	1.97483917447194
did:plc:2bw3rmsxra5vdofx7eb34xpl	-0.61523340950555	782.630414371863	0.0	7.34255770994453	2.46092348273875
did:plc:2bxwgcie2w4hhyrexdjj4ge7	0.23556710402599101	125.20887678732453	0.0	6.96038397655635	1.9947543878488
did:plc:2by2ubq4j4xkgqhnt3h27x4t	-0.255596623325626	453.892273034283	0.0	6.35885102383161	1.94159788966322
did:plc:2c2wkphix2apu3negrptsbi5	0.286133055101403	252.823265884033	0.0	6.90789861723265	2.35088180383027
did:plc:2c5oxf3jakzvmzq5vlttaala	0.2643772497355826	139.28787524658728	0.0	7.22022875341713	2.00807072535051
did:plc:2cfwhq3haaw47zcr3gtu3el6	2.6197173358942845	2.6197173358942845	1.0	7.71706367681413	1.78029610339003
did:plc:2cjs7gsehmhzczsk6tc7o4y3	-0.391013643322358	227.343429550794	0.0	7.36924813432555	1.89211090052569
did:plc:2ckzf43ucemnr2uxlcluj7vo	0.368083723541861	307.850762642001	0.0	6.94765004265049	2.30860099839356
did:plc:2coiglturus6fxvm7afrutup	-0.324429485184393	314.640710810825	0.0	7.48309118555273	1.66362454585816
did:plc:2cvbaevozize4lbivzlhjrf3	-0.457442754125324	231.207220886613	0.0	7.34224137313817	2.21287801808655
did:plc:2cwkm4qt5xp43nonn5wuwmwn	-0.34777264177441	214.470718046082	0.0	7.31918386804298	2.41759657329387
did:plc:2cwm3os6tzkcayb4jr5x5jsq	0.43443358579176744	50.10762817842472	0.0	7.30612964847236	2.08607661380371
did:plc:2d47y6spvdua4fvbekyopwag	-0.322381204290191	222.181228151813	0.0	6.5726945540558	1.82314498794587
did:plc:2d6z3pbvksrb5glnbc7ox24g	3.096141122452198	3.096141122452198	1.0	7.62548593277919	1.78495941107104
did:plc:2d7dppz5rrvcu7yinte77464	0.5530141030808878	350.5099486929333	0.0	6.7427529224167	2.05227984219678
did:plc:2dfexqe5ocpu6y3iwdw3tdqk	-0.793267403002407	392.167191107597	0.0	7.58274569584856	2.00021135330904
did:plc:2drkk3txe7ritjybnlihowhj	-0.401903606547187	337.241089944579	0.0	6.55334156204686	2.55022886000645
did:plc:2dt6thyfke44suyypsnvzsbp	-0.31818637158957	301.157424996693	0.0	7.1544525888907	2.05404984721165
did:plc:2dwt3zfv6ijuuci7l3xto5yu	0.214068252434881	153.2262184413774	0.0	7.74482043534908	1.85109741624074
did:plc:2dxhc67tuhmfggw4tqmdn72b	-0.385875619236586	284.076542996453	0.0	7.58774799904848	1.84301708783502
did:plc:2e2evblhba2novxiofqzzrki	0.40019497747454497	58.20745950679593	0.0	8.62827751994994	1.4457888088581
did:plc:2e2m5enduxheosbpqx6tqgzp	0.28605260694457174	437.64887234739496	0.0	6.10471333543456	1.96137225632195
did:plc:2e7r63tqkfrb5zjpgjj3khbe	0.4072018150407321	59.478168333126206	0.0	7.84189128333514	1.65024439008549
