did	duration_meanlog	duration_sdlog	gap_meanlog	gap_sdlog
did:plc:2htswvwsj3w7etdhylxpa3u3	4.62677722889854	1.37889264240882	7.72683415749097	1.97310813481246
did:plc:2hv4houd7pv7i47ftj5in3sp	3.93836623654401	1.31671057863243	7.50464209568717	2.05238579021713
did:plc:2i45xy7rpjfgzsmpdnpz6n7r	4.04327412609965	1.42426966440039	7.8888264061021	1.7191489788398
did:plc:2i5caesn7j464jblkdb36wut	2.30600504494148	1.47584981763172	8.36492000698768	1.55830238187921
did:plc:2i6d4vzifhowgaymi7jijk37	3.78778280293347	1.32520099528313	8.46494876180987	1.64550600616779
did:plc:2iffb6bkoemfluztzoys5v7x	5.04385477676899	0.892648739683794	6.75344774567339	1.94659708060265
did:plc:2ihtvpdyiocqgpnxchm7q4k5	3.61706848552614	1.27823746376516	7.87258707545039	1.69947373899825
did:plc:2ijnhxcorzj6empyhk4kuewm	4.37462666564411	1.6895655305264	6.54619246919669	1.71034087017024
did:plc:2ioyvaj3uwdszqiubdwvkqjj	5.89348395349627	1.10485985902064	6.45575225740389	2.34396450246797
did:plc:2iqjqodi2g5xhlosgkh4hfvu	3.45203907703456	1.1732705333831	8.39759839412992	1.15813479326815
did:plc:2irnmau3oep6jtabkp4d6kmf	3.40118187318097	1.8624826441779	7.26653740202244	1.83626081702949
did:plc:2isj36t2wimesiixwuytu7zy	3.05010985551955	1.755065226101	7.96670277808937	1.74578684634628
did:plc:2ispxok5ls4mytj4asn6yiu3	3.26305516345559	1.49412671766389	7.77643407805451	2.05390636673646
did:plc:2itflyvmn7obcigpojsnfnd7	3.18680138924388	1.96197884354838	6.83570185801919	1.5121609488815
did:plc:2iu6uwgnsdyjoo2g3l6idn6l	4.39646032173963	1.33557111420913	7.53292608683634	1.74775024155155
did:plc:2j2l6b4t6vnzbiubt7wfva2a	2.88934053116255	1.78352815967006	7.85057663659353	1.42624930039631
did:plc:2j7yh4reb36ouvuycscpak4u	4.11220332216035	1.37683548599746	7.10198167841468	1.5415719072987
did:plc:2jfgmzd2p3v7sh36sci5r4ll	3.72515957616065	1.1314033005515	7.87151686007508	1.55956832058294
did:plc:2jsucm6inori7znglzgyetpc	4.13598803551427	1.6174856170136	6.60255272896371	1.7565573849729
did:plc:2k3t4vcsfy5srfnrwx4ppnit	4.14909742113725	1.06111750498619	8.14919002123338	1.64425510867669
did:plc:2kfv6tywlydqsnx3pyryer3q	4.27061087222313	1.76900145201088	6.50540056068499	1.90304943628011
did:plc:2kmtincarzuziux34zv4bvuf	4.42641024571091	1.53173924377998	7.37264319592026	2.00614187790843
did:plc:2kogxqy76lxra25vrodftwmc	3.42155459448423	1.32280523695561	9.01494811129798	1.20746536055206
did:plc:2kumoimulbtpqov24mtr37gn	2.93932758395146	1.82845504543289	7.67988590211719	1.5603822378212
did:plc:2l5bsihyjkec6sl3ccrtavjt	4.12281339637649	1.34900834331214	7.61305336199665	1.75294640028509
did:plc:2l5ibesuj6pwyhb5a33egqg6	4.333578070274	1.42338486963592	7.04837107509267	1.79652529429351
did:plc:2lbm5igdejf7aefeungwfzz3	4.47709195476249	1.460647404148	6.82259406083287	2.09676138187266
did:plc:2lgnmatg77obvwxi2o5wy232	5.61287666966076	0.891017559264328	6.49713196139306	2.05648529743436
did:plc:2liguskcjcn7lwnoaifwtdah	4.35464756866233	1.25091256665171	8.88324637397078	1.25320259734216
did:plc:2liqgt6daxlznjhmtkats4ux	2.70441174371679	1.2781047341648	7.93141223493729	2.03022086864035
did:plc:2lmnfgiu544762qujepjjmgf	3.94295244714848	1.83857489548052	7.00988501035266	1.80999474926404
did:plc:2loa7wj6o7tm6hv26eggsgwl	3.56362716159549	1.65574446491825	8.65513029135748	1.40723381296869
did:plc:2lxhwvsmv226el4vxozz3cmm	2.93047189305229	1.2330862586619	7.92150322658836	1.84975167624827
did:plc:2m6j2vcgzdrwszsmo3ql3pq4	3.72577633216522	1.30509163836884	8.01960160917214	1.70100775938385
did:plc:2m6offgvpj2gxu3x5kjpyern	5.31206909247756	0.932675358665286	6.9889865094482	2.16670814746681
did:plc:2mko65hhjc4uy6s6s5txg3mb	2.83854515751816	1.17049989805573	8.5031201046211	1.48732406410376
did:plc:2mpictyswq4ajngxvv5reg5e	3.4251857458459	1.62186714687473	7.03901143967977	1.83808506547099
did:plc:2mq5hnsbezqojqospxbglmj3	4.28630603811278	1.4252946153431	7.81018748781152	1.9849549168779
did:plc:2mqejch5uwiltjl3et63neox	5.21218373854785	0.999265141178291	7.1034607601957	2.08454095576063
did:plc:2mquuhmpincad2h5xnqxn4nh	4.64627033944102	1.37062353379584	7.81017104141686	1.69297674786133
did:plc:2ms4fizrizxpsezau7xebw6v	3.60620625485065	1.44907370074532	8.20304162316771	1.23620948078453
did:plc:2myhgxtth72xs7vwrdfhvtln	3.94686386228257	1.81679802883703	6.4869836388671	1.8705046173985
did:plc:2myzmhifokgtmk3tazbqs6gy	3.53473546564674	1.91695021985254	6.54560356867584	1.83329909401926
did:plc:2ncdr4cyfxgn7jn2rlubmdmx	3.20205265519758	2.07318920941781	7.26296277159976	1.61173787436287
did:plc:2nl4zuay7snn3uad4y4dfvtm	3.88011115689368	1.3239414121046	6.98613961279494	1.38687031230157
did:plc:2nrf7vnfkeq4gwjwxupslvjr	4.58117945251857	1.17234194996602	7.0010057604838	1.84953529743549
