did	duration_shape	duration_rate	gap_xi	gap_sigma	gap_mu
did:plc:234xb3mixuhzqwpjrq5hd3b4	0.760763168487673	0.00488452566207002	0.29396970052561	3300.71454856888	0.0
did:plc:23crx27faad76q7krw6gtnw2	0.708406789245366	0.00430158259323548	2.79799018737315	475.65833185343547	170.0
did:plc:23qjcvevliley7svj624m33e	0.843035094715464	0.00313691931272127	0.5725902245783474	2090.326033344483	0.0
did:plc:23sbysipwfpn7bimbt4mcigv	0.741671202870466	0.00543509448441308	0.68311612552019	1801.19335786283	0.0
did:plc:23swmqexsw52ztsur7wpmfuk	0.585589581335117	0.00271249227296063	0.8431109659514681	669.7168096829303	0.0
did:plc:23tatyf6rirjo3xqynqy6tem	0.818909519682087	0.00506255466482053	0.6594101032886835	1652.3986057978232	0.0
did:plc:23tp4juumxwd5ozmrteqq5b6	1.48096961900494	0.00219700803410312	2.0874324270760254	281.7572309127541	0.0
did:plc:23wzyuoosxvkwrkw7ooaibdq	0.450403661308805	0.00244902209101399	0.9122224529931922	1317.330030365385	0.0
did:plc:245chwu6oxotu7pwkhdzuezn	1.29655744171553	0.00371892925573919	1.4483151750532008	325.7484158179623	0.0
did:plc:24aikzf6tw5xbpcx3kfzjwwa	1.14997515458741	0.00572322842872165	0.6984427596456064	909.1383081033133	0.0
did:plc:24ep6x5c7c5sg6ekkyqy7itq	0.744228184543574	0.00616971112402707	0.22727212312673042	5809.302855652343	0.0
did:plc:24g4fmzlytchregjhsmvw7gb	0.565386518969412	0.00405024894819565	0.5430180008828691	2905.8232146001633	0.0
did:plc:24g5gzfjebzz43k3aasi3afu	1.78008211460601	0.0106524613358201	0.11656924027039883	12188.453593718226	0.0
did:plc:24goyoimcui6dhxo2jgltp5u	0.593956847113244	0.00267453668094645	0.554986020641914	569.7328196059175	0.0
did:plc:24kemcifmahefhcsqko3vkto	0.709178741797411	0.00312768808711429	0.7180643514512011	604.9101653486838	0.0
did:plc:24pqxrsgl7a6zmuej45aa6o5	2.64155930995257	0.0189450453357115	0.202898122392124	8474.34098694663	0.0
did:plc:24q67uxecwbd3iy2h4uq3bi5	0.496019332497869	0.00322491729203667	0.7271808542702763	1292.586272957706	0.0
did:plc:24wdzvg2z6mdkc3u7gsjb5xg	0.795923690111679	0.00658536019297329	0.6288859764043315	3465.65321010066	0.0
did:plc:24zprwb6qrexrkdawkbgmbw7	0.65484213569804	0.0050159383192526	0.8127322801000778	2577.6969199913333	0.0
did:plc:252yood6zbzkj4ksxrvjr7ir	0.684285958467807	0.00236697744240864	0.5909806134276526	785.8262560926795	0.0
did:plc:2547h6pk6mhvxmotuwmmu2xg	0.814161685681848	0.00466747183673771	0.833622884767094	1098.259404745685	0.0
did:plc:25e3pljmynztgnsgigkg3rtf	0.782615592153961	0.00341852493174907	0.7593232390853575	2372.347796484547	0.0
did:plc:25jiwzm7tyxhrdmd4mqz3oqn	0.722910954721036	0.00349921772818984	0.8865825146226084	725.1319358129053	0.0
did:plc:25ohlbbmukvqomyljvzeljar	0.604645074642819	0.00364674379722923	0.6793192624477421	959.4150166708192	0.0
did:plc:25pzg4hagsevcgalyo265zjd	0.494486154620571	0.00374576637701615	0.8039686909153138	2064.04201766833	0.0
did:plc:25q2lbgkq2nupmel46rl6jkj	0.608786233114299	0.00374805618671851	0.7135874032155299	2854.7795194589894	0.0
did:plc:25r6yfsln5zgk5f6gw24y3dh	0.781390544950529	0.00629262517206434	0.6664684177006664	3494.122295104586	0.0
did:plc:25uumi4mtwixlmoijaezh4ko	0.72908431968434	0.0041084852896105	1.5597640816516856	1127.3402065916323	0.0
did:plc:26ah4gdh7exq73vcjth6ecfn	0.542054088092755	0.00420215592959744	0.47412524877363316	2894.4915222126833	0.0
did:plc:26gfiesadzjgf44w2dv5yeo7	0.761548297394703	0.00357693378998221	0.8726463602347565	688.562305953516	0.0
did:plc:26l6ynan3wg2lsochgisbkt4	0.695962769866009	0.00610261621276256	0.236981829032397	5061.013971997	0.0
did:plc:26lxmmniiwz7iqzaacztv2zt	0.730580498736084	0.00554237956637087	0.30800246949360943	4186.407382165195	0.0
did:plc:26pxs474fuj4skmaxxp2codm	0.508245096705413	0.00273526394123188	0.6873623943064283	1107.2048660483006	0.0
did:plc:26wgz535b5amb6omncpzgr7j	0.672409107585762	0.00525681957638846	0.7724783869215325	767.9650348829109	0.0
did:plc:27aiejrimrpgw5lzpn7ilngv	0.744340101895606	0.00405713110181758	0.9793035622809279	1021.1870480986239	0.0
