did	duration_rate	gap_meanlog	gap_sdlog
did:plc:252sqvmpj54bxuwfmwcqnrc6	0.00270797909207434	7.88558907106101	1.93198871836935
did:plc:254e7v2a6b7pl5tmxpwshq6o	0.00620328849214339	7.64033433325777	1.63767124424617
did:plc:256l2xxvw5djc2x5icb7ldgp	0.00495562982671279	6.84289722120899	1.99168920098026
did:plc:256umkw3pgvjpspbdda7kt36	0.00725190839810541	7.78429824045843	1.49575172343937
did:plc:257uy56zphfyj46qw2bdjbjw	0.00606360598943745	7.30874425803971	1.72983264557333
did:plc:25c7qb5pz5ddk5uagpyqt3dn	0.00717658168202699	8.95269979754547	0.924412914953077
did:plc:25cjmclj5qgyouownzwziehp	0.00289114502805891	6.69044049652892	2.53113490531699
did:plc:25efpgwz6wy7s56cs23sammh	0.00215710947338605	7.07946287287269	2.61049231029208
did:plc:25g6ppapg7p453fyzsgqaorr	0.00486223662962934	7.49155982480223	1.80099313147871
did:plc:25gqtnpngvbqf6dqzdktnzb2	0.00385862649348238	7.54247574731951	1.68519426652489
did:plc:25j2c4ij5553gnpgealthc56	0.00346120565374649	7.11754915596997	2.3731764883886
did:plc:25nfi5itns3assobn5lj274j	0.00380934683671381	7.98417084053128	1.84739619296002
did:plc:25tzlkctytapufb6ng5vdh7n	0.00446331845661861	7.16042416231815	1.56466846904161
did:plc:25wpuii4cbys32bgcxbbypbh	0.00287191269388597	6.75411771470416	2.43676216044208
did:plc:262v243tue3yt7jtrfh65nej	0.00616142945164796	7.43380555040448	1.83155606605465
did:plc:263o6qqynu7xen7uywmmafnx	0.00412661667782817	7.14146708191818	1.92180144940808
did:plc:2647g3p736k7p62nrbbaeq3y	0.00407341622288527	6.64708404504697	1.61446286331468
did:plc:266ipbyio26nsizfg7avheuq	0.00480615187520742	7.13752128671041	1.89256532090684
did:plc:266oaas3toce75zomeoyjqdd	0.00260416666671017	7.18538890816465	2.41168917762507
did:plc:267xk5nacakokgovxfloxbec	0.002327385570272	6.28271435356458	2.1354690204038
did:plc:26a4mvo4tloiohhxjkbvymdk	0.00672227064092462	7.75271626324927	1.84159283827487
did:plc:26d4fkqdpjksojdxx2wc6pbc	0.0076350448560869	7.53317159644972	1.50840349247791
did:plc:26fvcg3kc5grqn3xbvi5rruz	0.00886802295568652	7.63254796744095	1.81556552813975
did:plc:26kmeuz7xsxhjbjzuod4dfqa	0.00259648294583671	7.19439167729064	2.14482334894219
did:plc:26p65t7lgb2ewa2b6nnlrkf3	0.00441369438253511	8.17465000548224	1.80001171028656
did:plc:26sdhlweee6evyzw5kqrx5ln	0.00405545600329003	8.07165673654284	1.8863772234982
did:plc:26tf5j6q6y2qcfnlqaipb3ea	0.00497780727662108	7.05394000068009	1.64980630171535
did:plc:26ukeyhfnlklfooygqacum52	0.00282039116470032	6.72674548514175	1.73084833875958
did:plc:26v5aulzj2ulea6m2jvifssr	0.0128865979637571	7.16158304868406	2.20807295925027
did:plc:26vr2umerwllq4usgcp6yaxo	0.00495734378970365	7.23261428929153	1.84147963616071
did:plc:26yn6w3k6w7evyzefl2rfh4v	0.00542047390485007	7.216679596176	2.26429519257166
did:plc:277h2qpjpi7lq6pcfrvg4huv	0.00495615707279073	7.23461394298074	2.03541592963799
did:plc:27bz5ogrrnlcpkwybkevogoe	0.0225988700574447	8.31991595703481	1.23608888278443
did:plc:27eyrcw6l54oovkennygj5rf	0.00482098546694738	7.05774309308792	1.87212396251226
did:plc:27fugeby65fv624dqvqd7lty	0.00339089481993943	7.04239382820053	2.25110432192119
did:plc:27iapqrv45qaghpn3szcwrnq	0.00412114868868697	7.57197951302471	1.84133755995798
did:plc:27jmbc66q4uhplgawgzb23bu	0.00514453699180209	7.6971225607512	1.66469285485434
did:plc:27kppsest7zdqk3goeqqewic	0.00279884627728001	6.45216259596199	2.01785342891097
did:plc:27olldhvyfoailptfagxwpuc	0.00625424881040566	7.67294420688846	1.93531551207062
did:plc:27riat5xoq2v2qwq4aftcnpt	0.00364613318018968	7.10489221569209	2.0134796098199
did:plc:27s6nfniqles7xuo4qb6krtk	0.0343938099537387	9.28191958233467	0.856219632020707
did:plc:27sdafz73hxvbb7ermyjt7kq	0.00380093697549348	7.46401623294884	1.93357067060998
did:plc:27syjbgndob2ybtgnvdvofo7	0.0038144456749765	9.44788876355847	0.960639423607907
did:plc:27vtce4einhtargaadthuci5	0.00361258175062228	6.62350105575982	2.07691765393375
did:plc:27vxde54kz3t5p7qes4b4346	0.00313467340633544	6.90160824847729	2.03562349900837
