did	duration_xi	duration_sigma	duration_mu	gap_xi	gap_sigma	gap_mu
did:plc:2tqqxubv2lu4ahj35ysjer2r	2.347208651759307	2.347208651759307	1.0	0.41665330226297	3218.94357916968	0.0
did:plc:2txesvd3u4qiuvh3wmveh27w	0.4257997852491691	55.167384766141524	0.0	0.424588147578221	2304.07182323349	0.0
did:plc:2tyiozs7ievpovuylh6wlto5	0.115418111238603	235.927494719372	0.0	0.5859110327351835	588.7649832604422	0.0
did:plc:2u5lw3fwfizwrb33z5i4cjq7	3.364313384762357	3.364313384762357	1.0	0.556199252296415	1532.07965105159	0.0
did:plc:2ubtz3uhjmihk5ut27i2xvpm	0.15567023205092811	111.19085781243217	0.0	0.3299292699264278	4012.240785493917	0.0
did:plc:2ue6ptluuc2c5hacqgntxbjf	-0.178682588806667	244.791474730322	0.0	0.631870390607735	714.4746930918294	0.0
did:plc:2uxbsbhajvqrts3s5ctnnzi3	2.5037164075313276	5.007432815062655	2.0	1.0534151128160283	1012.4796003915552	0.0
did:plc:2v3xmctosh2de2wnjqt5cxpg	0.34058535006123	255.172821973015	0.0	0.8772660053244596	526.6549913982282	0.0
did:plc:2vbqo3tqscdzbjqrm4b2pvgy	0.345187624880139	414.304557572006	0.0	1.2765555223987806	754.4536483728939	0.0
did:plc:2vdwjj5kp6xgjr2l3vhon2dj	0.702057444295761	99.2258620568866	0.0	0.9750856974641565	1138.659461418637	0.0
did:plc:2veqjd2so2aixr7ssdt44zix	0.202619753159189	116.801065894202	0.0	0.6516334343074471	1020.4791073859775	0.0
did:plc:2vgflnerqlafpchrpxkxqcyk	-0.328837295125705	157.332315273805	0.0	0.48925288118091853	2839.122210790625	0.0
did:plc:2vkhspj7o45klwbvtl5okefd	2.764296079793414	2.764296079793414	1.0	0.698921964427352	2371.62813720368	0.0
did:plc:2vlp53umktwulinv2z3g4app	0.245757898797029	77.2179530005439	0.0	0.483715610519702	4581.94853761991	0.0
did:plc:2vtbwb53rugp62cg7phziyoi	1.7655914655554117	3.5311829311108234	2.0	1.236178293331462	865.6791542925616	0.0
did:plc:2vxg3uuhvzhy4uln2gb6ud2n	0.20149807519691026	243.6375250507742	0.0	0.36083165768161096	6072.176396187518	0.0
did:plc:2w3prx6tkmbhwsesewmhdekz	0.16937595386723783	222.1778073197453	0.0	0.7405372239174419	1017.3442644739554	0.0
did:plc:2w5myn7m3qbex3pfagqvuyut	-0.101748243175202	646.156614722791	0.0	-0.34944812386162	20906.7974375469	0.0
did:plc:2wcrd5idtl47txbczqh5qljz	0.6398650966596746	0.6398650966596746	1.0	0.7680068920118449	2534.4227436390884	3300.0
did:plc:2wfe7mqpukyykjysqwperab5	-0.0988019026973449	908.905754647405	0.0	1.0204958940906108	224.55719217540164	0.0
did:plc:2wqs7pen2nkjgq7ixdbzd323	2.9715527034577374	2.9715527034577374	1.0	0.6848021305444849	1457.4575717281257	0.0
did:plc:2xa2eueynqhm3w6onsp2qevy	-0.297117035112699	815.574235285757	0.0	1.0416418565084362	2177.748719591818	0.0
did:plc:2xasgcifyykkbv4u7hbnhq7u	1.3010120777476428	18.214169088467	14.0	1.0820535710969117	710.308621492699	0.0
did:plc:2xgp4kk2dgznqum5sro4dkuq	-0.370868418076345	261.512447725563	0.0	0.7317698150807537	1785.7814951505873	0.0
did:plc:2xu2r7ybiwsovwjtscy2nbww	0.24387597588732243	334.9114701619418	0.0	0.6234627466713676	953.2537587208958	0.0
did:plc:2xv2m257eor5echrvwypf7to	0.2632702194591888	177.61676238694184	0.0	0.505589442770451	2058.670475670693	0.0
did:plc:2ya3ycgomqc7qfof6k2gg24h	0.419221026744077	221.375976627341	0.0	0.873482543903259	1158.4418563353263	0.0
did:plc:2ybsq57cg6aj5sokxoriacja	3.2553014074586457	3.2553014074586457	1.0	0.7252468108038135	674.390934715164	0.0
did:plc:2yd7xsp2qk76ewdczsivg4lv	-0.175080753593428	359.240258018235	0.0	0.458374028904065	3497.37314240944	0.0
did:plc:2ydhgjqzf62wbyykqywmnfox	0.046567367584708974	749.056322286985	0.0	1.4937662399014577	298.52100172878687	0.0
did:plc:2ye7g4ckzlgc2atcuwypooma	0.283804797870817	155.927335399569	0.0	0.8127969130150109	787.7043595443939	0.0
did:plc:2yf62p3iopuauqfnabi6xvxe	-0.264271343665215	287.800956146815	0.0	0.8592393631326567	2514.141009570256	0.0
did:plc:2yiferscrel5mnxoamffx5fs	1.4940119914472096	1.4940119914472096	1.0	-0.299137008956672	20914.4230183209	0.0
did:plc:2yj3biilyncsecqzqdqp2ss7	-0.427700272782942	743.203718626559	0.0	2.425368121714913	196.19876101430867	0.0
did:plc:2yokz364s4nny5ppxxy5i4at	0.509212349697847	61.5558728463871	0.0	0.6377313600198689	3947.8368655078057	0.0
did:plc:2yyb3nevyfdinauwbhcrotyx	0.452433868767463	41.900453193555066	0.0	0.600902223230447	3629.72554366647	0.0
did:plc:2z4wp6eajdelfrifmlmwmx2i	0.4900164120488972	0.4900164120488972	1.0	0.8762141836296269	533.6144378304427	609.0
did:plc:2z6m2d3hnqys4z6kere7lbkw	0.4396350117959675	103.72969753369676	0.0	0.722018520042834	1565.89666580854	0.0
did:plc:2z7yio3ak6yxglwn5d7efj2e	2.534388889318839	2.534388889318839	1.0	0.8355767500607384	1399.9246818133568	0.0
did:plc:2zab54hnyr2dfc2t7flyw5hy	0.196408156195874	123.481783629926	0.0	1.0128172710025611	1068.751691672476	0.0
did:plc:2zfpysuqrpkoce5eagvrislq	0.201146283718285	269.302259590858	0.0	0.7172648995288949	2207.8726293646578	0.0
did:plc:2zogdiith3s54w37cxn4fxxv	3.280304238367852	3.280304238367852	1.0	0.9733276358541818	855.9707609141498	0.0
did:plc:2zwbcqashbfwa5zjd2aehgz3	0.327257981151664	73.0183361275312	0.0	0.6361762779829367	2249.488574599182	0.0
did:plc:2zyd7dm7ad2rzllngfffcktm	2.3645079134016034	2.3645079134016034	1.0	0.6489085215859954	1478.4096183539937	0.0
did:plc:32aleskmgfhn6ec5bulpyvsi	-0.376120430837841	108.081252840827	0.0	-0.313441518993039	16997.3979422095	0.0
did:plc:32e2qg7rmbv7yli4wr7qikqx	0.4242122463782792	448.24370403220263	0.0	1.033795017030365	146.2427726052669	0.0
did:plc:32gts3hxp3dp3oeaomevvp75	2.9757374871322932	2.9757374871322932	1.0	0.9614908240129515	1596.7463453574655	0.0
did:plc:32ku66ipjdqztas2bn22akw4	-0.0172680009047852	678.014105626205	0.0	0.6381331046977053	1524.0473839455085	0.0
did:plc:32o4u4omvqcv6ghcdah545x7	0.302358636445574	188.543485548791	0.0	0.383879350686546	2719.71692066499	0.0
did:plc:32op5aqat5p4o6e4btlo3zys	0.196495636271785	297.190965722894	0.0	1.2303482732052595	1063.1127283205285	0.0
