did	duration_rate	gap_shape	gap_scale
did:plc:252p2y6hx7xgxfvrbwfyvwt2	0.00257328261360528	0.61611687967016	9042.21089520746
did:plc:25324csgbdx5gac6eip5bsrg	0.0055195584354312	0.6898084935892	5202.43210774159
did:plc:25426fr663cmykhxhkm5kszj	0.00497741021590356	0.693191963196884	5246.49892588258
did:plc:25453dic7hnjxwgl3ruw6zzh	0.00582790538448911	0.658826429917826	5192.92417012744
did:plc:255x3dil2j32oun3auzcwies	0.00211380255950087	0.618116231697633	6544.58991654994
did:plc:255zzszqiuphjhtztr57lprl	0.00227175919359317	0.641387311688712	8583.0838602989
did:plc:256bwbmfjlapaj5jgthkgj37	0.006505387275446	0.715681453381769	8586.66923953054
did:plc:257r6amfmv3bq3vjoaufwjto	0.00317719680467098	0.58185187035215	3619.29048522082
did:plc:25a4w47mlwtx3vexjg2khyym	0.00652252687682356	0.646102760790638	3951.27408125517
did:plc:25amzlneiyxex6i33hepq7p7	0.00801068091216698	0.529105635390464	10052.0367169884
did:plc:25ay52aazt7ttq3ng7sk5rog	0.00826641474173817	0.745675114933562	8969.30013401714
did:plc:25bnjlkyohiyayi3rejpazn6	0.00616591928440497	0.593205604648849	9443.55786721058
did:plc:25dgrhms6u7ilf5ppxqrtgls	0.00297715358243462	0.760339906742931	4996.63442297558
did:plc:25dhfyrdwej2ogzuutxil5vx	0.00381922342489762	0.529145735387175	6734.99475604352
did:plc:25dxxhnhibcwx4ewupad6qox	0.00254265640687199	0.59510193777051	7411.60397230232
did:plc:25edqn2tyqni4hiwzknh2ln4	0.00398565165433238	0.733821895581273	11539.9220920139
did:plc:25es5na7hgoovpfdlz5onn7h	0.00449284191387776	0.679878157237599	6062.0674500906
did:plc:25fvd5yknfi6unqfgttsv3zh	0.00409059163949466	0.604655291021434	3148.11045653672
did:plc:25hncooo2ddj7jirghczyov7	0.00723278864301115	0.653457634088474	3918.01093823777
did:plc:25hzpqjiuy7wldcqxwwxcpj6	0.0076879805036381	0.67045890800967	6716.51778399848
did:plc:25inhjqgt3szvgp75iqbjfj2	0.00596955527022164	0.602010000128984	5167.31903233775
did:plc:25kvhguox66i2iou3tytykn6	0.00563115908074285	0.71761278240829	7125.18549740657
did:plc:25lviwi7r73sbei5uzitvkym	0.00550104073797238	0.5480074261563	8624.05597841993
did:plc:25m4nldyaaptswirjxzwmw32	0.00607111882245322	0.719614938949239	9930.39500880525
did:plc:25m5t7mgy6dmbymtorr6wcqa	0.00412415888993928	0.619762695978239	6499.39201831134
did:plc:25mf2qgl4r3pytu6oxylcsoo	0.00208461066830525	0.541920828666021	6845.51599252118
did:plc:25msjrx5z3s6u5aud2l5td53	0.00229800757860082	0.623448612200838	3577.64518570365
did:plc:25nuohjc2o22mwzuliddstyy	0.00432174986792527	0.84069081330513	9381.9733646056
did:plc:25oua5dgxtcu5tavsb3bq2dh	0.00285124969683857	0.827469489253364	11788.325065791
did:plc:25qmdsxpn4tcfhkpacmjgunz	0.00366937041365737	0.588517381080662	10805.878205117
did:plc:25rjauej7zdprulqtlcr7zsy	0.00669109447217714	0.659877500621901	4915.94842216186
did:plc:25rnz6j35jsfsz6xqmjjavwi	0.00556070435640337	0.680194079735269	3575.71080154227
did:plc:25rsbdklorqbl5d36nm7wlxu	0.00705244123091724	0.837116480865223	9317.71008540525
did:plc:25sbojaqniwncfjeabrge6ek	0.00372758412285933	0.832301737137069	13433.721461884
did:plc:25smjnqpsiomhgsuajdez4qp	0.00950668037050164	0.915124790346346	11853.7537090288
did:plc:25sr6td5q2ojd3jjc4nquzei	0.00767165324616172	0.717218516752011	6270.86676218709
did:plc:25tlwaf4k3vm3sjtipbbe2se	0.00441944556151065	0.60589989737237	7816.49219011113
did:plc:25vwzcybsihfqkwt6sldjxxl	0.00677757239821803	0.685765851729341	11002.8688726552
did:plc:25ycvhvz5awcjmclkskcjy36	0.00463847203364299	0.636957929625498	7872.71951114909
did:plc:25yk5lya47yuzvwdsfhpelei	0.0058289277506531	0.869007015744287	10561.1948939559
