did	duration_xi	duration_sigma	duration_mu	gap_shape	gap_scale
did:plc:25lp5o5van42xqkwkhpaiv7l	2.852998090020719	2.852998090020719	1.0	0.714922128393037	11555.3350615486
did:plc:25nhgkaj7y5xdtz7274wgqa2	0.281993974036677	121.831684139557	0.0	0.634470771090685	3806.37201768924
did:plc:25o3n2ya57bceqg4myt63x5z	0.324834989697573	266.486564826472	0.0	0.601229964911118	9983.99803323759
did:plc:25oem5n5ktbuy23lld4zqlid	1.9439893876157377	1.9439893876157377	1.0	0.822200187983487	17077.2898199897
did:plc:25oqkhlxaxiuglwv35b37l5d	-0.302750877335413	892.229827734255	0.0	0.637356517868567	7124.4041012706
did:plc:25p5uzvtto2el4kixpbxaz5a	-0.471595687302132	395.325032354912	0.0	0.566255129482109	6646.62501187733
did:plc:25psnr776jluhuziijad7sqj	-0.564838218596193	615.473132316662	0.0	0.488898025621812	5582.1007675256
did:plc:25q2omojyginwvyxkwfabqff	-0.554087166829516	189.706520683889	0.0	0.608495034124857	5586.57953011226
did:plc:25weho7vcvfyk3d2csxidx72	-0.362553407455088	754.40609812527	0.0	0.515746180338495	3591.58873766758
did:plc:25xhftclxdblm3fa3lqej245	0.2800109158631787	84.47358930147291	0.0	0.720633804525072	5359.89256529537
did:plc:25zou352g4sbinzivlnyrw62	-0.203305902518276	761.964799002526	0.0	0.548148924016543	8594.1077788909
did:plc:262ju54hwqjsdhtneecpfxav	2.673144970812857	2.673144970812857	1.0	0.736186982184933	4502.40878472717
did:plc:263htgponty7fveahe23xmyu	0.528630131189087	68.4756829596046	0.0	0.663108304695202	11411.7787636138
did:plc:264gkdt4pbhwsut2byo642eu	2.7563329450836553	2.7563329450836553	1.0	0.675301307994991	10949.3417559536
did:plc:26aggbks2k2rklslyqhplc33	2.6629959993654935	5.325991998730987	2.0	0.720624024329857	8627.75575302467
did:plc:26bi2q65qqijr7xn523iw762	2.851712634857762	2.851712634857762	1.0	0.84139251684882	16769.0106209942
did:plc:26dagtbvg7ya6fzsnclqfg62	-0.365711721273765	995.429086692894	0.0	0.631827913062031	12406.8822163516
did:plc:26g7rqycddki2y5lkzihppuu	0.273179160368188	82.4775262401437	0.0	0.905711444804289	12711.0494018514
did:plc:26hmghlvlua6s2js7ah5xfaq	1.4691760325770538	1.4691760325770538	1.0	0.584579064592809	9054.6268285927
did:plc:26khqhvzagdf2cnpvgqiorp4	2.322886262786129	2.322886262786129	1.0	0.740509304629274	8657.90157997988
did:plc:26ltgss66l3rsgquiez52547	0.186729334988414	146.518784834076	0.0	0.61198271631214	8397.26515614812
did:plc:26q5cvfxkwnfttugqv4p25gu	0.265303894884351	38.6251017142968	0.0	0.734801989938678	8210.67615636961
did:plc:26rclonx6kr3vvgteu74ko42	0.24668556302052938	222.55061521618663	0.0	0.571544888663938	8026.94282646682
did:plc:26ucavrs7wo3fngzaqntiiez	-0.858337889108318	400.872796201762	0.0	0.887504800277025	11920.45761496
did:plc:26v3sdxr777kaf54jktgf6a7	-0.263590174398988	805.199871739096	0.0	0.696444594792896	13066.6327671754
did:plc:26ynfxvfqu6j6oeyhkanxzvp	0.248034112174088	78.1700528680031	0.0	0.821710023522468	6775.28021029503
did:plc:277u257fq7rkdtfcy6ocxorb	0.3249426645136771	91.5567869845324	0.0	0.67507976590374	4021.08988979263
did:plc:27algwuuaufoz6zcv3qjevt7	-0.40161107333006	508.082026785484	0.0	0.614029604011747	12390.6235376901
did:plc:27axlxva4dyt3t4vmivaczp2	-0.515989348809236	583.676327786818	0.0	0.90474906123281	18014.7386102329
did:plc:27b7jsh366e24fr2d4dfnmdo	0.17603679397213232	384.66580811664323	0.0	0.526961228364635	4008.62968820427
did:plc:27bpd45xfrf5g43kj3jn5wvc	-0.396946612236062	188.963466428284	0.0	0.901657245202118	12969.9245091886
did:plc:27djuni4glvo3qq6znw7zqs4	2.2081561615762597	2.2081561615762597	1.0	0.81114665503667	10862.1050023662
did:plc:27gje7tp4hoeljjxqffjtb4r	-0.414201157251446	319.60189788184	0.0	0.589966138113631	6543.54649843222
did:plc:27iw5ruj3tq7r4hd2lsebiwe	-0.25741204882819	197.869626085809	0.0	0.720012125630263	4986.93470150532
did:plc:27jlxkw4wfi7rsjp4kcjthmj	3.147533169508985	3.147533169508985	1.0	0.529286086810354	6505.31739607963
did:plc:27lwvjlccbu2s3kszutf4l6a	0.34046512457831146	618.7373925089347	0.0	0.588334111990139	2299.39834016327
did:plc:27osstgixgoiht3zysuziict	-0.111472944744421	604.746804694999	0.0	0.661444132458722	5622.14238036217
did:plc:27oztulikqaiedjwyucpxtfp	-0.399068878991031	235.270309407539	0.0	0.699798273990982	4335.06413247857
did:plc:27pjrnxplpo7k5dpizbeaib5	1.838184894093476	1.838184894093476	1.0	0.705076293152369	8634.06448141648
did:plc:27tcg3oehm6hli6lwlbpstpf	-0.787291615156992	747.270918568913	0.0	0.476053618877778	5392.03291805813
did:plc:27u4ix57plhqzkgrulwnyonf	0.190926609696875	471.152575274298	0.0	0.669831684595385	9172.43440231286
